Intensity,./data/2006/061224.gif,./data/2013/131220.gif,./data/1998/980723.gif,./data/1995/950606.gif,./data/2008/080723.gif,./data/1980/801102.gif,./data/2011/110816.gif,./data/1986/860907.gif,./data/1981/811029.gif,./data/2007/070525.gif,./data/2011/110822.gif,./data/1987/871108.gif,./data/2018/180125.gif,./data/2008/080202.gif,./data/2003/030920.gif,./data/1988/880222.gif,./data/2004/040122.gif,./data/2006/061020.gif,./data/2017/170828.gif,./data/1986/860416.gif,./data/1979/790202.gif,./data/1987/870326.gif,./data/1992/920714.gif,./data/2014/140910.gif,./data/1992/920924.gif,./data/2003/030725.gif,./data/2004/041201.gif,./data/1997/970315.gif,./data/2013/131109.gif,./data/2002/020125.gif
0,6619,0,0,0,5199,0,0,0,0,5868,0,0,0,5691,0,0,0,2709,0,0,0,0,0,0,0,0,0,0,0,0
1,0,621,0,0,0,0,0,0,0,0,0,0,521,0,0,0,0,0,457,0,0,0,0,603,0,0,0,0,451,0
2,0,0,0,0,0,0,1233,0,0,0,973,0,0,0,0,0,0,870,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1570,0,10662,0,8847,0,0,7873,0,0,675,0,0
4,0,0,5145,0,620,4515,0,0,5565,0,0,0,0,0,0,0,3855,0,0,0,7035,0,0,0,0,0,0,0,0,0
5,0,307,0,0,890,0,494,0,0,1472,0,0,0,1449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,0,0,0,0,0,0,0,0,1680
7,562,0,0,0,123,0,0,0,0,31,474,0,0,397,0,0,0,0,211,0,0,0,0,357,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,236,0,0,0,94,0,39190,0,345,0,0,0,0,0,0,0,0,0,0,0,0
9,910,235,0,6354,103,0,679,0,0,66,213,20584,0,0,2778,0,0,0,0,0,0,0,5791,0,0,4481,4055,2579,197,0
10,0,0,80,0,0,0,331,12762,0,0,154,0,210,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,2519
11,0,0,879,0,222,0,0,0,0,187,0,0,0,144,0,0,0,18,0,800,0,0,0,162,883,0,0,0,120,0
12,72,328,0,0,46,0,582,0,680,0,532,0,243,59,0,0,392,0,0,729,1001,1273,0,380,0,0,0,0,129,0
13,0,47,0,0,0,0,0,0,0,57,0,0,0,0,0,0,233,53,284,0,0,0,0,0,0,0,0,0,0,0
14,307,0,0,0,69,297,331,0,587,0,145,0,0,0,0,0,0,54,0,0,0,0,0,237,0,0,0,0,59,0
