Intensity,2.5%%,25%%,50%%,75%%,97.5%%,Mean
0,0.0,0.0,0.0,0.0,8808.37500000001,799.85
1,0.0,0.0,0.0,0.0,0.0,103.3625
2,0.0,0.0,0.0,0.0,0.0,2.51875
3,0.0,0.0,0.0,0.0,17875.45,2313.48125
4,0.0,0.0,0.0,0.0,16251.975000000002,1567.5625
5,0.0,0.0,0.0,8626.25,18146.175,4105.65625
6,0.0,0.0,0.0,0.0,6874.950000000005,476.69375
7,0.0,0.0,0.0,0.0,571.1500000000021,59.5
8,0.0,0.0,0.0,0.0,1677.3500000000017,179.45625
9,0.0,0.0,0.0,0.0,11542.725000000024,874.15625
10,0.0,0.0,0.0,0.0,9227.175000000003,827.2875
11,0.0,0.0,0.0,0.0,1316.6750000000015,203.34375
12,0.0,0.0,0.0,74.5,2359.2999999999997,351.2
13,0.0,0.0,0.0,0.0,1484.175,156.4875
14,0.0,0.0,0.0,0.0,1377.8750000000011,125.85
15,0.0,0.0,0.0,0.0,1602.3750000000014,245.30625
16,0.0,0.0,0.0,0.0,815.4000000000015,72.25625
17,0.0,0.0,0.0,0.0,960.7000000000004,74.03125
18,0.0,0.0,0.0,0.0,1223.025,113.4375
19,0.0,0.0,0.0,350.5,2387.3000000000015,332.0375
20,0.0,0.0,223.5,923.25,2278.250000000001,537.24375
21,0.0,0.0,0.0,325.25,1895.3500000000004,250.50625
22,0.0,0.0,0.0,191.25,2223.0500000000015,286.45625
23,0.0,0.0,0.0,629.75,2284.8250000000003,414.30625
24,0.0,0.0,0.0,1122.5,2894.725000000001,584.0625
25,0.0,0.0,0.0,172.5,1535.4500000000014,183.1
26,0.0,0.0,0.0,0.0,1091.8500000000001,125.4125
27,0.0,0.0,0.0,159.0,692.3750000000006,120.40625
28,0.0,0.0,0.0,709.0,1341.9500000000003,353.125
29,0.0,0.0,176.0,646.75,1779.050000000001,389.36875
30,0.0,0.0,0.0,299.0,1609.5750000000007,251.275
31,0.0,0.0,14.0,479.25,1288.7500000000005,270.88125
32,0.0,0.0,0.0,426.25,1039.5750000000007,237.08125
